"Status";"Amount";"Customer";"Pipeline status";"Status";"Creation date";"Closing date";"Product";"Country";"Sales person";"Prob"
"RED";"8,981.324";"Company 3";"EARLY";"VERBAL COMMITMENT";"07/01/2010 02:55:23";"06/05/2010 02:55:23";"PRODUCT 5";"Russia";"Darryl Innes";"10.906"
"YELLOW";"10,114.118";"Company 6";"STANDBY";"LOST";"02/01/2010 18:22:23";"22/04/2010 18:22:23";"PRODUCT 2";"Belgium";"Nita Marling";"64.369"
"YELLOW";"8,865.714";"Company 6";"ADVANCED";"STANDBY";"01/01/2010 08:12:23";"17/04/2010 08:12:23";"PRODUCT 4";"United States";"Nita Marling";"63.016"
"RED";"12,963.316";"Company 8";"STANDBY";"QUALIFIED";"20/01/2010 04:07:23";"19/05/2010 04:07:23";"PRODUCT 6";"Canada";"Roxie Foraker";"0.533"
"GREEN";"12,853.619";"Company 2";"ADVANCED";"QUALIFIED";"16/01/2010 15:23:23";"24/05/2010 15:23:23";"PRODUCT 11";"Australia";"Darryl Innes";"88.917"
"YELLOW";"11,033.237";"Company 7";"EARLY";"CONTACTED";"24/01/2010 08:49:23";"07/05/2010 08:49:23";"PRODUCT 8";"Mexico";"Neva Hunger";"52.609"
"YELLOW";"14,453.529";"Company 9";"STANDBY";"STANDBY";"27/01/2010 09:04:23";"13/05/2010 09:04:23";"PRODUCT 10";"Russia";"Neva Hunger";"71.372"
"GREY";"14,855.291";"Company 4";"STANDBY";"WIN";"11/01/2010 03:39:23";"16/04/2010 03:39:23";"PRODUCT 4";"Brazil";"Jamie Gilbeau";"44.165"
"YELLOW";"11,638.799";"Company 5";"STANDBY";"CONTACTED";"06/01/2010 05:45:23";"12/05/2010 05:45:23";"PRODUCT 8";"Saudi Arabia";"Jerri Preble";"71.295"
"GREEN";"14,624.647";"Company 6";"STANDBY";"SHORT LISTED";"16/01/2010 00:55:23";"20/04/2010 00:55:23";"PRODUCT 2";"Brazil";"Kathrine Janas";"77.087"
"RED";"14,810.872";"Company 8";"STANDBY";"QUALIFIED";"10/01/2010 12:16:23";"01/05/2010 12:16:23";"PRODUCT 1";"Australia";"Neva Hunger";"20.369"
"YELLOW";"10,981.821";"Company 7";"EARLY";"LOST";"16/01/2010 03:43:23";"25/04/2010 03:43:23";"PRODUCT 10";"Poland";"Julio Burdge";"65.007"
"RED";"13,774.228";"Company 3";"EARLY";"WIN";"23/01/2010 20:50:23";"06/06/2010 20:50:23";"PRODUCT 11";"India";"Kathrine Janas";"7.783"
"GREEN";"13,555.983";"Company 6";"STANDBY";"SHORT LISTED";"26/01/2010 16:19:23";"04/05/2010 16:19:23";"PRODUCT 11";"United States";"Nita Marling";"85.863"
"RED";"12,223.044";"Company 5";"EARLY";"DEMO";"11/01/2010 16:26:23";"16/04/2010 16:26:23";"PRODUCT 3";"South Korea";"Roxie Foraker";"11.125"
"RED";"10,769.977";"Company 4";"EARLY";"QUALIFIED";"14/01/2010 20:52:23";"24/05/2010 20:52:23";"PRODUCT 8";"Turkey";"Roxie Foraker";"3.616"
"RED";"14,239.58";"Company 8";"ADVANCED";"VERBAL COMMITMENT";"05/01/2010 12:57:23";"08/05/2010 12:57:23";"PRODUCT 1";"Switzerland";"Darryl Innes";"21.405"
"RED";"12,407.066";"Company 4";"ADVANCED";"LOST";"09/01/2010 18:26:23";"16/05/2010 18:26:23";"PRODUCT 6";"Canada";"Darryl Innes";"9.089"
"RED";"8,304.276";"Company 3";"ADVANCED";"CONTACTED";"10/01/2010 13:03:23";"11/04/2010 13:03:23";"PRODUCT 8";"Turkey";"Roxie Foraker";"12.226"
"GREY";"14,439.387";"Company 9";"STANDBY";"STANDBY";"14/01/2010 06:29:23";"17/04/2010 06:29:23";"PRODUCT 6";"Saudi Arabia";"Kathrine Janas";"29.959"
"RED";"8,317.578";"Company 9";"EARLY";"WIN";"08/01/2010 06:47:23";"20/04/2010 06:47:23";"PRODUCT 3";"Mexico";"Jerri Preble";"3.092"
"YELLOW";"8,618.138";"Company 7";"STANDBY";"SHORT LISTED";"26/01/2010 21:20:23";"12/05/2010 21:20:23";"PRODUCT 11";"Switzerland";"Jerri Preble";"59.888"
"YELLOW";"8,133.471";"Company 9";"ADVANCED";"QUALIFIED";"26/01/2010 03:34:23";"12/05/2010 03:34:23";"PRODUCT 2";"Spain";"Darryl Innes";"66.856"
"YELLOW";"12,325.47";"Company 7";"EARLY";"VERBAL COMMITMENT";"16/01/2010 10:00:23";"19/05/2010 10:00:23";"PRODUCT 7";"Germany";"Darryl Innes";"56.788"
"GREY";"14,104.739";"Company 4";"ADVANCED";"SHORT LISTED";"01/01/2010 17:44:23";"05/05/2010 17:44:23";"PRODUCT 7";"Netherlands";"Darryl Innes";"31.312"
"YELLOW";"10,188.109";"Company 8";"STANDBY";"QUALIFIED";"12/01/2010 17:56:23";"23/04/2010 17:56:23";"PRODUCT 4";"Belgium";"Nita Marling";"60.235"
"RED";"12,139.944";"Company 3";"EARLY";"LOST";"16/01/2010 02:36:23";"30/05/2010 02:36:23";"PRODUCT 1";"Saudi Arabia";"Neva Hunger";"24.925"
"GREEN";"13,952.686";"Company 3";"STANDBY";"QUALIFIED";"15/01/2010 06:25:23";"26/04/2010 06:25:23";"PRODUCT 8";"Indonesia";"Roxie Foraker";"78.019"
"RED";"12,772.116";"Company 1";"EARLY";"WIN";"12/01/2010 12:15:23";"17/05/2010 12:15:23";"PRODUCT 10";"Switzerland";"Neva Hunger";"16.701"
"GREEN";"13,122.797";"Company 9";"ADVANCED";"DEMO";"13/01/2010 06:55:23";"13/05/2010 06:55:23";"PRODUCT 7";"South Korea";"Jerri Preble";"91.834"
